X,Y,Temperature
-0.971520116919159,2.149026341244874, 22.916
-0.971520116919159,2.149026341244874, 22.916
-0.971520116919159,2.149026341244874, 22.916
-0.971520116919159,2.149026341244874, 22.916
-0.971520116919159,2.149026341244874, 22.916
-0.971520116919159,2.149026341244874, 22.916
-0.971520116919159,2.149026341244874, 22.916
-0.971520116919159,2.149026341244874, 22.916
-0.971520116919159,2.149026341244874, 22.916
-0.9837761772363096,2.0579570179217677, 23.005
-0.9837761772363096,2.0579570179217677, 22.916
-1.0563606958185208,1.808734275306677, 22.828
-1.1287072020211195,1.5603029706450076, 22.828
-1.2056165704272739,1.3030083074095722, 22.828
-1.2769994000039864,1.048601581722117, 22.740
-1.3527097804454884,0.7920455390453306, 22.828
-1.41741924333074,0.5393007458944024, 22.740
-1.4456450657993787,0.28683420120024034, 22.740
-1.4804098773877108,0.03592125167098555, 22.740
-1.4909883574597493,-0.2287817789913066, 22.740
-1.4991849356588876,-0.48228230730230554, 22.740
-1.4992129595551238,-0.7376856093581083, 22.652
-1.475169075823872,-1.1692503238363041, 22.740
-1.4042697187283684,-1.2085616166175717, 22.740
-1.1520905320594699,-1.2399396988315952, 22.740
-1.0170728925020616,-1.2382706740233151, 22.740
-1.025313175605356,-1.2443202887365692, 22.740
-1.0261676641433828,-1.2543298377547547, 22.740
-1.0339312288643459,-1.2234324472186926, 22.740
-1.0516161231717034,-0.9566159740410602, 22.740
-0.9795007174391316,-0.5679830580029078, 22.740
-0.8984461045928507,-0.30992900057536915, 22.740
-0.8134604529995323,-0.06142076240925076, 22.740
-0.7745167257935521,0.18610454568620766, 22.740
-0.6844511228854652,0.6974791157874406, 22.652
-0.63883446971617,0.9554640009459504, 22.740
-0.5871492661748161,1.2092666941276589, 22.652
-0.48066643916007107,1.7302050684692496, 22.652
-0.48066643916007107,1.7302050684692496, 22.652
-0.4109125656908489,2.0615720987859985, 22.652
-0.40987574315053354,2.0704223254041483, 22.740
-0.0480045211874075,2.1220185259318387, 22.740
-0.020922792576219196,2.113189738582605, 22.652
0.07576026874308789,1.8495310284454283, 22.740
0.07687753800621193,1.63780025327276, 22.652
0.024714759559610996,1.1279588112980632, 22.652
-0.029483295033765528,0.8773758107800903, 22.652
-0.09485173955132642,0.6263405684340491, 22.652
-0.24742871428487523,0.111398063018017, 22.652
-0.3032656661980575,-0.15210187161072244, 22.652
-0.35834524203940277,-0.39769608183166316, 22.652
-0.46999153739685884,-0.9004418520691732, 22.652
-0.5314205779465024,-1.1553776715595745, 22.652
-0.5426196616258867,-1.2075399378902099, 22.652
-0.5634349282971184,-1.2232273187758662, 22.652
-1.04958364275509,-1.1183281070545048, 22.652
-1.295195310952015,-0.9874207479912328, 22.652
-1.295195310952015,-0.9874207479912328, 22.652
-1.295195310952015,-0.9874207479912328, 22.740
-1.295195310952015,-0.9874207479912328, 22.740
